"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"230912",19,"SC",16338,"SC","KAISER ALUMINUM FABRICATED PRODUCTS, LLC","6250 E BANDINI BLVD","LOS ANGELES","90040",3354,"LA","SOUTH COAST AQMD","","",2.87017677765852,1.7758,4.22291,10.03438,0.06903,1.62139,1.487185,2012,"6250 E BANDINI BLVD,LOS ANGELES, CA"
"230915",19,"SC",12820,"SC","KAISER FOUNDATION HOSP","9400 E ROSECRANS AVE","BELLFLOWER","90706",9999,"LA","SOUTH COAST AQMD","","",1.27714599457038,1.09941,1.99773,1.46952,0.0139,0.19768,0.19711888,2012,"9400 E ROSECRANS AVE,BELLFLOWER, CA"
"230917",19,"SC",6739,"SC","KAISER FOUNDATION HOSPITAL","13652 CANTARA ST","PANORAMA CITY","91402",8062,"LA","SOUTH COAST AQMD","","",1.9501615167802,0.82419,0.73848,2.15169,0.02356,0.33551,0.33056388,2012,"13652 CANTARA ST,PANORAMA CITY, CA"
"230918",19,"SC",49572,"SC","KAISER FOUNDATION HOSPITAL","5601 DE SOTO","WOODLAND HILLS","91367",8062,"LA","SOUTH COAST AQMD","","",0.829314087240111,0.28005,2.89471,2.08088,0.02495,0.63983,0.6356474,2012,"5601 DE SOTO,WOODLAND HILLS, CA"
"230919",33,"SC",54586,"SC","KAISER FOUNDATION HOSPITAL","10800 MAGNOLIA AVE","RIVERSIDE","92505",8062,"RIV","SOUTH COAST AQMD","","",0.810065653898148,0.5392111,3.0238,2.11894,0.02126,0.29253,0.291857,2012,"10800 MAGNOLIA AVE,RIVERSIDE, CA"
"230920",19,"SC",800429,"SC","KAISER FOUNDATION HOSPITAL","1550 N EDGEMONT ST","LOS ANGELES","90027",8062,"LA","SOUTH COAST AQMD","","",1.06723086183967,0.41214,1.37509010725,0.88686,0.03992,0.50699,0.50698448,2012,"1550 N EDGEMONT ST,LOS ANGELES, CA"
"230929",33,"SC",156146,"SC","KAISER FOUNDATION HOSPITAL - MORENO VALL","27300 IRIS AVE","MORENO VALLEY","92555",9999,"RIV","SOUTH COAST AQMD","","",0.151638443690805,0.07067,0.80301,1.2129,0.00607,0.08784,0.08698974,2012,"27300 IRIS AVE,MORENO VALLEY, CA"
"230932",36,"SC",11732,"SC","KAISER FOUNDATION HOSPITALS/","9961 SIERRA AVE","FONTANA","92335",8062,"SBD","SOUTH COAST AQMD","","",2.2094552543751,1.29952,8.17013,5.37899,0.05807,2.20966,1.76270698,2012,"9961 SIERRA AVE,FONTANA, CA"
"230956",19,"SC",148411,"SC","KAISER PERMANENTE DOWNEY MED CENTER","9333 IMPERIAL HWY","DOWNEY","90242",9999,"LA","SOUTH COAST AQMD","","",2.36727814984676,2.05061,2.76305,4.0963,0.02225,0.37111,0.3644246,2012,"9333 IMPERIAL HWY,DOWNEY, CA"
"230967",36,"SC",139280,"SC","KAISER PERMANENTE ONTARIO VINEYARD MED C","2295 S VINEYARD AVE","ONTARIO","91761",6324,"SBD","SOUTH COAST AQMD","","",1.00751351164093,0.6019,2.27316,4.26089,0.07341,1.43087,1.15674888,2012,"2295 S VINEYARD AVE,ONTARIO, CA"
